			
			
			
DESCRIPTION	     PART NUMBER	UnitPrice	Currency
SPACER	5-89358-25	48.26	USD
CONNECTOR ASSY	9077M99P02	765	USD
NOZZLE	4812-15	50	USD
COVER	S5731200200900	7500	USD
LATCH	412N1153-170Y	981	USD
SENSOR	4305990071	11500	USD
SENSOR	4305990071	9350	USD
SENSOR	4305990071	6600	USD
SENSOR	4305990071	9500	USD
TRIM AIR VALVE	GG436-2038-5	4500	USD
CHECK VALVE	2C9342	1800	USD
CHECK VALVE	2C9342	2015	USD
UPPER BEARING	161W1197-1	5115	USD
CHECK VALVE	2C9342	1899.5	USD
LOWER BEARING	161W1158-1	5795.55	USD
MAIN WHEEL	3-1471-2	5950	USD
SENSOR	4305990071	9500	USD
CHECK VALVE	2C9342	1300	USD
REFRIGERATOR 	371-1  	7000	USD
WASHER	NAS1149E0863P	301.29	USD
WASHER	NAS1149E0863P	9.02	USD
O RING	MS28775-143	19.86	USD
Guide	54-492-1	220.55	USD
HARNESS-MW0316	325-027-403-0	5500	USD
CAM, LOWER	170-70411-003	10500	USD
BEARING	162W1507-1	1707	USD
LOWER BEARING	161W1158-1	1400	USD
UPPER BEARING	161W1197-1	1400	USD
UPPER BEARING	161W1197-1	2940	USD
FILTER 	WE3881639-1	164.23	USD
CELL	024257-000	976.52	USD
LOCKNUT	KFN305DL08	55.45	USD
LOCKNUT	KFN305DL08	55.45	USD
PIN	HL10V6-4         	45.92	USD
PIN 	HL10V5-5         	19.7	USD
PIN 	HL10V5-5         	46.3	USD
LOCKNUT	KFN305DL3	48.04	USD
LOCKNUT	KFN305DL3	14.5	USD
VALVE-DRAIN	ZCV111-1	5500	USD
CHECK VALVE	2C9342	875	USD
RESERVOIR	B630124-04	2000	USD
ACTUATOR ASSY	106788A144	5250	USD
ACTUATOR - RAM AIR INLET PANEL INSTL	541674-4	13500	USD
ACTUATOR	541674-4	13500	USD
HEAT SHRINK	M23053/12-503-C	40	USD
ACTUATOR - RAM AIR INLET PANEL INSTL	541674-4	9000	USD
ACTUATOR	541674-4	9000	USD
ACTUATOR - RAM AIR INLET PANEL INSTL	541674-4	12000	USD
ACTUATOR	541674-4	12000	USD
THERMOSTAT, TEMPERATURE CONTROL	GG436-1006-7	17000	USD
SENNHEISER HEADSET WITH ONE PLUG (WITH XLR-5 CONNECTOR)	046-55-999-0231	628.5	USD
TUBE	8GS410331-00	1138.4	USD
 ACTUATION	100088	310.39	USD
FILTER KIT	65-90305-58	29.75	USD
SENNHEISER HEADSET WITH ONE PLUG (WITH XLR-5 CONNECTOR)	046-55-999-0231	777.03	USD
POWER CONTROL UNIT ELEVATOR	3321530-11	7000	USD
AILERON, (LH) 	GM158-1000-5	56700	USD
ACTUATOR - RAM AIR INLET PANEL INSTL	541674-4	12500	USD
ACTUATOR	541674-4	12500	USD
ACTUATOR - RAM AIR INLET PANEL INSTL	541674-4	11000	USD
ACTUATOR	541674-4	11000	USD
ACTUATOR - RAM AIR INLET PANEL INSTL	541674-4	9900	USD
ACTUATOR	541674-4	9900	USD
ACTUATOR - RAM AIR INLET PANEL INSTL	541674-4	11000	USD
ACTUATOR	541674-4	11000	USD
ACTUATOR - RAM AIR INLET PANEL INSTL	541674-4	14000	USD
ACTUATOR	541674-4	14000	USD
ACTUATOR - RAM AIR INLET PANEL INSTL	541674-4	9500	USD
ACTUATOR	541674-4	9500	USD
ACTUATOR - RAM AIR INLET PANEL INSTL	541674-4	12500	USD
ACTUATOR	541674-4	12500	USD
TRIM AIR VALVE	GG436-2038-5	7700	USD
SMOKE DETECTOR, MODEL 2000	473597-18	10500	USD
SMOKE DETECTOR, MODEL 2000	473597-18	2500	USD
MCDU-MULTIPURPOSE CONTROL AND DISPLAY UNIT	4077880-982	13800	USD
MCDU-MULTIPURPOSE CONTROL AND DISPLAY UNIT	4077880-982	11500	USD
MCDU-MULTIPURPOSE CONTROL AND DISPLAY UNIT	4077880-982	12150	USD
DISPLAY ELECTRONICS UNIT	4081600-940 	74750	USD
DISPLAY ELECTRONICS UNIT	4081600-940 	69500	USD
VALVE-SELECTOR	400220-5	16500	USD
BEARING-ROLLER CYLINDRICAL 	9972M33P07 	5750	USD
ACTUATOR ASSY	106788A144	13611	USD
FITTING ASSY-STOP	141A6103U19	4300	USD
POWER CONTROL UNIT, FLIGHT SPOILER	P665A0001-03	84000	USD
POWER CONTROL UNIT, FLIGHT SPOILER	P665A0001-03	76950	USD
SENSOR	44337-1	4200	USD
SIDEWALL LIGHT TYPE E CONN 35"	9651-35-0004	1700	USD
SIDEWALL LIGHT TYPE C CONN 35"	9651-35-0002	2990	USD
SIDEWALL LIGHT TYPE D CONN 35"	9651-35-0003	2300	USD
SIDEWALL LIGHT TYPE E CONN 35"	9651-35-0004	1800	USD
NO. 1 WINDSHIELD ASSY-COPILOT	141A4800-2	17250	USD
WINDOW-SLIDING (LH)	NH25216-1	16500	USD
SIDEWALL LIGHT TYPE C CONN 35"	9651-35-0002	3506.25	USD
NO. 1 WINDSHIELD ASSY-COPILOT	141A4800-2	16500	USD
INDICATOR LIGHT HEAD	E0424R3E	805	USD
INDICATOR LIGHT HEAD	E0424R3E	500	USD
LIGHT-INDICATOR	E0070B0B07	1095	USD
Slide	D31354-433	16835	USD
Slide	D31354-433	25000	USD
LENS ASSY	15-0712-12	4030.78	USD
LENS ASSY	15-0712-12SD	4030.78	USD
REDUCER	MS21916-10-6	229.04	USD
IGNITION EXCITER	4952961	25475.94	USD
IGNITION EXCITER	4952961	29500	USD
SEC-SPOILER ELEVATOR COMPUTER	B372CAM0100	205000	USD
TUBE	8GS410331-00	1726.08	USD
COUPLING	F5347961021000	2821	USD
SIDEWALL LIGHT TYPE C CONN 35"	9651-35-0002	2720	USD
NO. 1 WINDSHIELD ASSY-COPILOT	141A4800-2	17800	USD
LINK	1590M33P01	4490	USD
ACP-AUDIO CONTROL PANEL	ACP2788AD01	4000	USD
ACP-AUDIO CONTROL PANEL	ACP2788AD01	5800	USD
MCDU-MULTIPURPOSE CONTROL AND DISPLAY UNIT	4077880-982	12500	USD
AXLE SEEVE	54-472	13000	USD
LINK	1590M33P01	4500	USD
NO. 1 WINDSHIELD ASSY-COPILOT	141A4800-2	15500	USD
BATTERY PACK	8ES360000-00	1320	USD
LID ASSY	D72W30048-111A	1288.5	USD
Toilet assy	15800-019-1	8120	USD
Toilet assy	15800-019-1	5580	USD
Toilet assy	15800-019-1	5000	USD
POWER CONTROL UNIT ELEVATOR	3321530-11	4000	USD
POWER CONTROL UNIT ELEVATOR	3321530-11	4000	USD
CROTEN STRAP	1111530-01-001	1017.81	USD
BOLT	BACB30VT6K4	1.45	USD
HOLDER BAGGAGE BAR	139-00-112-00	11.45	USD
SWITCH ASSY-2 POLE MOMENTARY	2100-6	349.11	USD
SPACER, BRAKE ROD	DRT68908	1650	USD
SPACER, BRAKE ROD	DRT68909	1650	USD
SPACER, BRAKE ROD	460007019	188.1	USD
SPACER, BRAKE ROD	460007020	188.1	USD
LINK	1590M22P03	2670	USD
MCDU-MULTIPURPOSE CONTROL AND DISPLAY UNIT	4077880-982	13800	USD
MCDU	4077880-982	13800	USD
HOLDER BAGGAGE BAR	139-00-112-00	250	USD
HOLDER BAGGAGE BAR	139-00-112-00	250	USD
HOUSING	D72D93003-005	854	USD
COVER-SEAT	0A296-0216HS	760	USD
SIDE PAD - IAT TABLE - MOLDED	1014071-315BHW	250	USD
LATCH	854681-001	600	USD
LENS	D72D70360-111	605	USD
MASK-ASSY OXYGEN	28301-02	167.56	USD
MASK	289-601-212	159.16	USD
SPACER, BRAKE ROD	DRT68908	1100	USD
SPACER, BRAKE ROD	DRT68909	1100	USD
SPACER, BRAKE ROD	460007019	175	USD
SPACER, BRAKE ROD	460007020	175	USD
SPACER, BRAKE ROD	DRT68908	158	USD
SPACER, BRAKE ROD	DRT68909	171	USD
SPACER, BRAKE ROD	460007019	249	USD
SPACER, BRAKE ROD	460007020	247	USD
MCDU	4077880-982	12500	USD
COVER-SEAT	0A296-0216HS	1269.39	USD
COVER-SEAT	0A296-0216HS	986.19	USD
LOCK ASSY	849900-409	120	USD
LID ASSY	D72W30048-111A	555	USD
STRAP	MS3367-2-9	0.28	USD
GUIDE, SECTOR CPRSR STTR	1559M36P01	225	USD
HOLDER BAGGAGE BAR	139-00-112-00	95	USD
HOLDER BAGGAGE BAR	139-00-112-00	95	USD
AIR CYCLE MACHINE	2206400-2	64800	USD
AIR CYCLE MACHINE	2206400-2	64000	USD
AIR CYCLE MACHINE	2206400-2	75000	USD
AIR CYCLE MACHINE	2206400-2	63500	USD
AIR CYCLE MACHINE	2206400-2	59500	USD
AIR CYCLE MACHINE	2206400-2	75000	USD
AIR CYCLE MACHINE	2206400-2	59995	USD
INTEGRATED DRIVE GENERATOR	761574B	255000	USD
INTEGRATED DRIVE GENERATOR	761574B	240000	USD
SERVO ASSY-LATERAL	163000-108	2000	USD
SENSOR-ANGLE OF ATTACK	0861FL1	11500	USD
SENSOR-ANGLE OF ATTACK	0861FL1	8400	USD
SENSOR-ANGLE OF ATTACK	0861FL1	49579.85	USD
SENSOR-ANGLE OF ATTACK	0861FL1	11500	USD
SENSOR-ANGLE OF ATTACK	0861FL1	9500	USD
MODULE	233A3211-1	1150	USD
MULTI-MODE RECEIVER	822-1821-332	59000	USD
PRESSURE SWITCH	1266-200	5000	USD
PRESSURE SWITCH	1266-200	3500	USD
DISPLAY UNIT	4086850-921	19750	USD
FAN, ARINC 600	AE0607F00	4950	USD
FAN, ARINC 600	AE0607F00	7550	USD
RECEIVER/TRANSMITTER, ANTENNA	7021450-801	39500	USD
RECEIVER/TRANSMITTER, ANTENNA	7021450-801	32500	USD
RECEIVER/TRANSMITTER, ANTENNA	7021450-801	34500	USD
RECEIVER/TRANSMITTER, ANTENNA	7021450-801	24500	USD
RECEIVER/TRANSMITTER, ANTENNA	7021450-801	39500	USD
RECEIVER/TRANSMITTER, ANTENNA	7021450-801	31588	USD
SENSOR-MIXER TEMPERATURE	763A0000-03	875	USD
STATIC INVERTER	HB200	37050.54	USD
BOLT	BACB30VT6K4	38.65	USD
CHANNEL	65-61777-5	590	USD
CHANNEL	65-61777U5	590	USD
CHANNEL	65-61777Y5	590	USD
INTERCOSTAL WEB	69-87927-1	6729.55	USD
TEE	65C37023-1	1467	USD
MULTI-MODE RECEIVER	066-50029-1201	18000	USD
MULTI-MODE RECEIVER	066-50029-1201	13500	USD
INTERCOSTAL FILLER	69-87926-1	3463.17	USD
BEARING	BACB10HJ04	198	USD
CHECK VALVE	GB2000AA0	3500	USD
SENSING ELEMENT	35518-48-400	3997.67	USD
BUSHING	69-38829-2	195.75	USD
PLATE	65C26481-3	5081.25	USD
BOLT	69-76303-2	94.53	USD
PACKING, PREFORMED	TRRG6	8.16	USD
STARTER-AIR TURBINE	3505945-10	124500	USD
BOLT	HST10AG6-2	28.86	USD
SEATPAN, ASSY CLIP ON	139-00-240-34	227.5	USD
ACTUATOR,PIVOT DOOR	TY1724-50A	35000	USD
SENSOR-ANGLE OF ATTACK	0861FL1	12000	USD
CLAMP	AN735D16	26.09	USD
CLAMP	AN735D16	50.79	USD
CLAMP	AN735D16	3.75	USD
BOLT	BACB30VT6K2	10	USD
BOLT	BACB30VT5K4	10	USD
SEAL	2-158S604-70	8.63	USD
HI-LOK	DAN6-6-4X	14.48	USD
NYLON ROD	65-45849-511	357	USD
SEAL	8675-4	5589.75	USD
ROD	65-45849-514	184.32	USD
NYLON ROD	65-45849-513	1541.35	USD
CLIP - ANGLE	69-10056-1	4219.24	USD
BEARING	BACB10B97	198	USD
BOLT	BACB30VT5HK2	21.92	USD
BEARING	BACB10EU04	162.68	USD
BOLT	HST10AG6-4	33.83	USD
BOLT	HST10AG6-4	4.28	USD
GASKET	16006-009	143.84	USD
GASKET	16006-009	165.21	USD
BRAKE LININGS	357453	185.72	USD
FILTER	055916-04	81.76	USD
SENSOR-MIXER TEMPERATURE	763A0000-03	995	USD
Toilet assy	15800-019-1	8400	USD
CONTROLLER, ACS	GG546-2040-15	35500	USD
MACHINE, AIR CYCLE	GG431-2010-3	81750	USD
PACKING, PREFORMED	MS9068-038	5	USD
PACKING, PREFORMED,	MS9068-041	19	USD
PACKING, PREFORMED	MS9068-038	5	USD
PACKING, PREFORMED	MS9068-342	8	USD
PIN, COTTER	MS24665-134	2	USD
PACKING, PREFORMED	MS9068-134	4	USD
PACKING, PREFORMED	MS9068-224	6	USD
PACKING, PREFORMED	MS9068-236	8	USD
ELECTRONIC INTERFACE BOX	5E2651-24	54000	USD
FILTER	7577741	25.12	USD
RECIRCULATION AIR FILTER	21FA407	442.19	USD
PAPER ROLL A330	A1239873WE	55	USD
PAPER ROLL A330	A1239873WE	17.55	USD
VANE ASSEMBLY, VANE-SLINGER SHAFT	00861-1267-0001	6169.13	USD
SEATPAN ASSY	139-00-240-24	125	USD
RECEIVER/TRANSMITTER, ANTENNA	7021450-801	25550	USD
NO. 1 WINDSHIELD ASSY-COPILOT	141A4800-2	11000	USD
NO. 1 WINDSHIELD ASSY-COPILOT	141A4800-2	25000	USD
BRAKE ASSY	2-1457-1 	17000	USD
BRAKE ASSY	2-1457-1 	11200	USD
BRAKE ASSY	2-1457-1 	15000	USD
BRAKE ASSY	2-1457-1 	20000	USD
SENSOR-MIXER TEMPERATURE	763A0000-03	800	USD
STARTER-AIR TURBINE	3505945-10	137000	USD
MULTI-MODE RECEIVER	066-50029-1201	8500	USD
AIR CYCLE MACHINE	2206400-2	69500	USD
" 	PUMP-FUEL "	568-1-27202-007	3250	USD
SERVO ASSY-LATERAL	163000-108	8000	USD
" 	PUMP-FUEL "	568-1-27202-007	6474.3	USD
SENSOR-ANGLE OF ATTACK	0861FL1	9500	USD
FDAS CONTROLLER	285T0855-1	1150	USD
BRAKE ASSY	2-1457-1 	12700	USD
BRAKE ASSY	2-1457-1 	10200	USD
BRAKE ASSY	2-1457-1 	10960	USD
MULTI-MODE RECEIVER	822-1821-332	102000	USD
MCDU	4077880-982	10995	USD
THERMOSTAT	398B050000	4500	USD
" 	PUMP-FUEL "	568-1-27202-007	3900	USD
" 	PUMP-FUEL "	568-1-27202-007	3700	USD
DISPLAY UNIT	4086850-921	31000	USD
STARTER-AIR TURBINE	3505945-10	120000	USD
BRAKE ASSY	2-1457-1 	23550	USD
BRAKE ASSY	2-1457-1 	17900	USD
MULTI-MODE RECEIVER	066-50029-1201	20000	USD
HARNESS	325-025-401-0	22500	USD
Thrust Reverser Primary Lock	TY1917-20B	9500	USD
SUNSHADE ASSY - NO. 2 WINDOW LH	170-14458-990	700	USD
Toilet assy	15800-019-1	6799	USD
Toilet assy	15800-019-1	6799	USD
BRAKE ASSY	2-1457-1 	8180	USD
BRAKE ASSY	2-1457-1 	15660	USD
STATIC INVERTER	HB200	18766.7	USD
INTEGRATED DRIVE GENERATOR	761574B	259000	USD
MULTI-MODE RECEIVER	066-50029-1201	6500	USD
INTEGRATED DRIVE GENERATOR	761574B	275000	USD
PLATE	69-76409-7	4466	USD
PRESSURE SWITCH	1266-200	3950	USD
LIGHT ASSY-NOSE IND	434-674-1043-3205	24766.18	USD
CAMERA-COCKPIT DOOR	8410B2-4-90	6888.18	USD
BATTERY, NI-CD	241059	123	USD
SCREW	BACS12ER3K10	3	USD
LEAD-BONDING	E0089-10-80	2	USD
NUT	BACN11N104CD	14.34	USD
PACKING	AS3209-239	21.59	USD
BOLT	BACB30NX6K3X	4	USD
HI-LOCK	BACB30VT6K6	2	USD
RING	BACR12BU17SN	1	USD
SCREW	ASNA2001V3-5	5	USD
BOLT	NTA11164-3K6	5	USD
RIVET	CR3213-6-02	5.42	USD
NUT	NAS1726-3	4.27	USD
LATCH	H2868-1-100-660	708.33	USD
PACKING	BACP11K5	2	USD
O-RING	BACP11K4	7.42	USD
BOLT	BACB30VU6K5	5	USD
SEAL	149A7661-53	825	USD
SEAL	204960	14.67	USD
PREFORMED PACKING	M83248-1-128	7.3	USD
PIN	MS24665-1002	0.2	USD
SPRING	67565	378.35	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	4590	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	4590	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	4000	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	4000	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	6426	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	6426	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	2000	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	2000	USD
PROBE-MASTER	1B9102P	12432.15	USD
PROBE-MASTER	1B9102P	9500	USD
ADM-AIR DATA MODULE	PG1152BC02	1250	USD
ADM-AIR DATA MODULE	PG1152BC02	2000	USD
SEAL	149A7661-53	1094.75	USD
NUT	BACN10VR5CG	52.42	USD
LAMP	FB024830	31.3	USD
PLATE	65-54993-20	3174.05	USD
BEARING AND PLUG ASSY	69-76303-1	79.97	USD
UNIT, BRAKE AND POSITION SENSOR (V17472) 	855D100-15 	14000	USD
CAPNUT	22K1-02	20.71	USD
HI-LOK	BACB30NX6K15	4.45	USD
WASHER	BACW10BN3AP	3.75	USD
LINK	1590M22P03	1900	USD
MICROSWITCH	E0325A01	447	USD
WASHER	SP126-D	3	USD
HEADSET 	64300-200	286.6	USD
CAP ASSY	US2103-04J	49.44	USD
AILERON, (LH) 	GM158-1000-5	115000	USD
VALVE-FLOAT,VENT	28-0033	750	USD
SMOKE DETECTOR, MODEL 2000	473597-18	2750	USD
SMOKE DETECTOR, MODEL 2000	473597-18	4000	USD
RESTRAINT SYSTEM	2100002-01-277	2155.66	USD
RESTRAINT SYSTEM	2100002-01-277	1906.93	USD
TUBE ASSY	65-67389-137	7250	USD
TRACK	65-47894-3	8121.25	USD
HEADSET 	64300-200	494.34	USD
HEADSET 	64300-200	439.56	USD
HARNESS-MW0325	325-027-506-0	9000	USD
WHEEL AXLE	1840-0211	12000	USD
BUSHING	69-38829-2	235	USD
BUSHING	69-38829-2	235	USD
AIR CYCLE MACHINE	2206400-2	70000	USD
ACTUATOR-THS	47145-268	115000	USD
TRACK-SEAT	S5367800121002	2200	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	3500	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	3200	USD
MULTI-MODE RECEIVER	066-50029-1201	12000	USD
HARNESS-MW0325	325-027-506-0	5000	USD
AIR CYCLE MACHINE	2206400-2	60000	USD
SMOKE DETECTOR, MODEL 2000	473597-18	1800	USD
SMOKE DETECTOR, MODEL 2000	473597-18	1755	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	5800	USD
ACTUATOR,PIVOT DOOR	TY1724-50A	28500	USD
KIT ULB Battery	147E5542-00	1882.32	USD
SECU, SPOILER ELECTRONIC CONTROL	49-164-21	8000	USD
HOSE	649-434-237-0	1995	USD
ADM-AIR DATA MODULE	PG1152BC02	14500	USD
NUT	PLH54CD	2	USD
RIVET	ST1173-02	12	USD
Packing-preformed	ST6202-014	8.29	USD
PROBE-MASTER	1B9102P	4000	USD
VALVE-FLOAT,VENT	28-0033	3200	USD
VALVE-FLOAT,VENT	28-0033	1990	USD
VALVE-FLOAT,VENT	28-0033	2100	USD
SECU, SPOILER ELECTRONIC CONTROL	49-164-21	36500	USD
HARNESS-MW0316	325-027-403-0	6000	USD
FMC-6000 (with NEW BATTERY) 	822-0868-089	65000	USD
MIXER SPOILER ASSY	251A1741-5	15500	USD
COVER-ARMREST	3A090-0301A	250	USD
HARNESS-MW0325	325-027-506-0	7500	USD
PANEL ASSY-ELECTRONIC FLIGHT INSTR CONT	622-5048-361	1350	USD
SEC-SPOILER ELEVATOR COMPUTER	B372CAM0100	205000	USD
DETECTOR ASSY FIRE 	902020-01	21280	USD
CONTROL, UNIT-ELECTRONIC (NON-PMUX)	2458M04P01	45800	USD
SEC-SPOILER ELEVATOR COMPUTER	B372CAM0100	150000	USD
Battery Pack	8ES360000-00	1320	USD
LIGHT ASSY	81000-17501	1250.93	USD
RING-RETAINING	MS16624-2037	2.11	USD
RIVET	CR3212-6-04	7.75	USD
SEAL	2-158S604-70	4.36	USD
VALVE ASSY-ELEV TAB	" 	251A2420-7"	3500	USD
VALVE ASSY-ELEV TAB	" 	251A2420-7"	4727.24	USD
VALVE ASSY-ELEV TAB	" 	251A2420-7"	7000	USD
LID ASSY	D72W30048-111A	515	USD
PANEL	D72D72726-161A	515	USD
ACTUATOR-OUTFLOW VALVE ACTUATOR	2022480-13	6000	USD
SENSOR, TEMPERATURE	GG436-2005-3	4482.67	USD
PANEL ASSY-ELECTRONIC FLIGHT INSTR CONT	622-5048-361	2750	USD
Filter Assy	3882440-1	311.66	USD
Filter Assy	3882440-1	203.69	USD
BOLT	BACB30VG8K22	43.8	USD
FAN, ARINC 600	AE0607F00	3500	USD
SENSOR, TEMPERATURE	GG436-2005-3	3250	USD
VALVE ASSY-ELEV TAB	" 	251A2420-7"	26822.5	USD
WASHER	BACW10P186CC	15.76	USD
CARTRIDGE	PMA M446616	2599.2	USD
CARTRIDGE	PMA M446617	2599.2	USD
BUSHING	9944M44P01	90	USD
" 	BUSHING"	9944M44P01	90	USD
LENS	25-1734-15	113.09	USD
RIVET	CR3212-6-04	25.9	USD
CABLE AY-STEPDOWN CONVERTER RH	72605371-4	9728.54	USD
SENSOR HARNESS COMPLETE	024119-000 	9715.43	USD
RIVET	BACR15DR3-8	3.5	USD
LATCH ASSY	149N7316-6	19950	USD
LIGHT ASSY	81000-17501	2579.55	USD
HARNESS-MW0325	325-027-506-0	5950	USD
MAST ASSY-WASTE WATER DRAIN	65-32603-1	7999	USD
EXCHANGER-PRECOOLER	11-811538-1	45000	USD
EXCHANGER-PRECOOLER	11-811538-1	57000	USD
EXCHANGER-PRECOOLER	11-811538-1	64000	USD
MULTI-MODE RECEIVER	066-50029-1201	12000	USD
DETECTOR ASSY FIRE 	902020-01	17000	USD
MAST ASSY-WASTE WATER DRAIN	65-32603-1	10000	USD
PANEL ASSY-ELECTRONIC FLIGHT INSTR CONT	622-5048-361	4500	USD
CARTRIDGE	PMA M446616	2534.55	USD
CARTRIDGE	PMA M446617	2534.55	USD
CABLE AY-STEPDOWN CONVERTER RH	72605371-4	7643.85	USD
PANEL ASSY-ELECTRONIC FLIGHT INSTR CONT	622-5048-361	8500	USD
" 	ELECTRICAL ASSY"	63001001-2	16500	USD
FAN ASSY	3616140-11	69750	USD
FAN ASSY	3616140-7	69750	USD
APU	167301-101A	577500	USD
VALVE ASSY-ELEV TAB	" 	251A2420-7"	3995	USD
CABLE AY-STEPDOWN CONVERTER RH	72605371-4	8500	USD
SWITCH OIL PRES	698430-2	5250	USD
MCDU-MULTIPURPOSE CONTROL AND DISPLAY UNIT	4077880-982	12980	USD
MCDU	4077880-982	12980	USD
MAST ASSY-WASTE WATER DRAIN	65-32603-1	6000	USD
SENSOR, TEMPERATURE	GG436-2005-3	1750	USD
SENSOR, TEMPERATURE	GG436-2005-3	5300	USD
PACKING, COALESCER	69494J446	76.75	USD
BRAKE	5010520−1	42500	USD
BRAKE	5010520−1	37500	USD
VIBRATION MONITOR	6672M202	6250	USD
EMERGENCY BATTERY	100-0302-01	13500	USD
CABLE AY-STEPDOWN CONVERTER RH	72605371-4	7720	USD
" 	ELECTRICAL ASSY"	63001001-2	13050	USD
VIBRATION MONITOR	6672M202	4650	USD
DOOR SEAL	234505	4	USD
MASK	MF20-534	5512.5	USD
MASK	MF20-534	6000	USD
Cell, CVH250KA	023412-000	685.3	USD
Cell, CVH250KA	023412-000	589.76	USD
PLUG	SLP5182A3-1	3.5	USD
" 	FUSE"	" 	GA31958"	306	USD
SLEEVE	SLS5182A3-400-2	3.63	USD
SLEEVE	SLS5182A3-400-2	5.06	USD
INDICATOR	1605100-01	5000	USD
FILTER, AIR, OUTFLOW VALVE	147240-1	2355.55	USD
WASHER, TEFLON BACKUP	327B486P010	14	USD
PIN, COTTER	MS24665−90 	0.08	USD
PROBE T49.5 (THERMO-COU)	TC296-02	4900	USD
PROBE T49.5 (THERMO-COU)	TC296-02	4550	USD
PROBE T49.5 (THERMO-COU)	TC296-02	2300	USD
FRAME ASSY-BASE	G2527129020000	605	USD
VALVE-SURGE CONTROL	3291238-2	15000	USD
FAN - BLADE	2225M27P02	30000	USD
FAN - BLADE	2225M27P02	55000	USD
MASK	MF20-534	5450	USD
MASK	MF20-534	5500	USD
PRESSURE REGULATOR AND SHUTOFF VALVE	3214552-6	54000	USD
PRESSURE REGULATOR AND SHUTOFF VALVE	3214552-6	49000	USD
BOOT ASSY	170-55400-401	1867.46	USD
BOOT ASSY	170-55400-401	1500	USD
INDICATOR	1605100-01	5500	USD
INDICATOR	1605100-01	11500	USD
INDICATOR	1605100-01	9600	USD
JOINT-FLEX IGNITION LEAD	1882M49P01	3862.8	USD
Cell, CVH250KA	023412-000	685.3	USD
Cell, CVH250KA	023412-000	589.76	USD
VALVE, PNEUMATIC SHUTOFF	109804−7	10000	USD
PROBE T49.5 (THERMO-COU)	TC296-02	2000	USD
VALVE-SURGE CONTROL	3291238-2	18500	USD
SCRAPER	29-1211038-01	1790	USD
BRAKE	5010520−1	34500	USD
MONITOR, LEVEL SENSE (M1)	584-106	1730	USD
LAMP	565-101 	20.27	USD
VALVE-SURGE CONTROL	3291238-2	21500	USD
VALVE-SURGE CONTROL	3291238-2	14000	USD
FMC-6000 (with NEW BATTERY) 	822-0868-089	45240	USD
COMPUTER, FLIGHT MGT (FMC6000)	822-0868-089	45240	USD
FMC-6000 (with NEW BATTERY) 	822-0868-089	48500	USD
COMPUTER, FLIGHT MGT (FMC6000)	822-0868-089	48500	USD
FMC-6000 (with NEW BATTERY) 	822-0868-089	65000	USD
COMPUTER, FLIGHT MGT (FMC6000)	822-0868-089	65000	USD
VALVE-SURGE CONTROL	3291238-2	15000	USD
GAGE, PRESSURE	64299-1	1813.67	USD
UNDERWATER LOCATOR BEACON	DK120/90 	2295	USD
UNDERWATER LOCATOR BEACON	DK120/90 	2250	USD
UNDERWATER LOCATOR BEACON	DK120/90 	2120	USD
UNDERWATER LOCATOR BEACON	DK120/90 	1310	USD
CAP	1010210-612ACH	75	USD
Cell, CVH250KA	023412-000	558.7	USD
PRESSURE REGULATOR AND SHUTOFF VALVE	3214552-6	67500	USD
INDICATOR	1605100-01	8500	USD
BOWL ASSY-LAVATORY	15801-165-2	1250	USD
BRAKE	5010520−1	56000	USD
BATTERY	3214-31	671.05	USD
SHUTOFF VALVE	979998-1	7500	USD
SHUTOFF VALVE	979998-1	4500	USD
SHUTOFF VALVE	979998-1	5500	USD
SHUTOFF VALVE	979998-1	9995	USD
NUT, SLFLKG DBL HEX	1498M72P01	10	USD
SHUTOFF VALVE	979998-1	5500	USD
SHUTOFF VALVE	979998-1	7500	USD
SHUTOFF VALVE	979998-1	4250	USD
PRESSURE REGULATOR AND SHUTOFF VALVE	3214552-6	88000	USD
SHUTOFF VALVE	979998-1	2330	USD
SHUTOFF VALVE	979998-1	3650	USD
Sensor, complete	024119-000	9715.43	USD
VALVE, PNEUMATIC SHUTOFF	109804−7	13750	USD
PRIMARY ACTUATOR CONTROL UNIT	7028273-802	83173.2	USD
BOWL ASSY-LAVATORY	15801-165-2	1000	USD
VALVE-SAFETY	9024-15704-03	4500	USD
	MS24665-300	0.14	USD
	MS24665-170	0.3	USD
LIGHT-INDICATOR	E0070B1-07	670.45	USD
TUBE	340-016-701-0	1200	USD
BALLAST UNIT	4197-20-04	1050	USD
BALLAST	3352-41	2687.97	USD
BALLAST UNIT	4197-20-04	1400	USD
BALLAST UNIT	4197-20-04	800	USD
ARM ASSY	2314M72-1	1803.8	USD
TOTAL AIR TEMPERATURE SENSOR	102AH2AG	24000	USD
